"trainer/global_step","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer__MIN","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer__MAX","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step__MIN","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step__MAX"
"0","0.4960317313671112","0.4960317313671112","0.4960317313671112","0","0","0"
"1","0.5865724086761475","0.5865724086761475","0.5865724086761475","1","1","1"
"2","0.5978647470474243","0.5978647470474243","0.5978647470474243","2","2","2"
"3","0.7154471278190613","0.7154471278190613","0.7154471278190613","3","3","3"
"4","0.7399267554283142","0.7399267554283142","0.7399267554283142","4","4","4"
"5","0.6276595592498779","0.6276595592498779","0.6276595592498779","5","5","5"
"6","0.5056179761886597","0.5056179761886597","0.5056179761886597","6","6","6"
"7","0.5384615659713745","0.5384615659713745","0.5384615659713745","7","7","7"
"8","0.4119718372821808","0.4119718372821808","0.4119718372821808","8","8","8"
"9","0.4035087823867798","0.4035087823867798","0.4035087823867798","9","9","9"
"10","0.6169354915618896","0.6169354915618896","0.6169354915618896","10","10","10"
"11","0.44736841320991516","0.44736841320991516","0.44736841320991516","11","11","11"
"12","0.347517728805542","0.347517728805542","0.347517728805542","12","12","12"
"13","0.28308823704719543","0.28308823704719543","0.28308823704719543","13","13","13"
"14","0.6033057570457458","0.6033057570457458","0.6033057570457458","14","14","14"
"15","0.35789474844932556","0.35789474844932556","0.35789474844932556","15","15","15"
"16","0.4119718372821808","0.4119718372821808","0.4119718372821808","16","16","16"
"17","0.34117648005485535","0.34117648005485535","0.34117648005485535","17","17","17"
"18","0.5289575457572937","0.5289575457572937","0.5289575457572937","18","18","18"
"19","0.4609929025173187","0.4609929025173187","0.4609929025173187","19","19","19"
"20","0.33212995529174805","0.33212995529174805","0.33212995529174805","20","20","20"
"21","0.44262295961380005","0.44262295961380005","0.44262295961380005","21","21","21"
"22","0.34408602118492126","0.34408602118492126","0.34408602118492126","22","22","22"
"23","0.30035334825515747","0.30035334825515747","0.30035334825515747","23","23","23"
"24","0.25954198837280273","0.25954198837280273","0.25954198837280273","24","24","24"
"25","0.289682537317276","0.289682537317276","0.289682537317276","25","25","25"
"26","0.47349822521209717","0.47349822521209717","0.47349822521209717","26","26","26"
"27","0.43157893419265747","0.43157893419265747","0.43157893419265747","181","181","181"
"28","0.2936508059501648","0.2936508059501648","0.2936508059501648","182","182","182"
"29","0.4558303952217102","0.4558303952217102","0.4558303952217102","183","183","183"
"30","0.4021352231502533","0.4021352231502533","0.4021352231502533","184","184","184"
"31","0.4186991751194","0.4186991751194","0.4186991751194","185","185","185"
"32","0.5860806107521057","0.5860806107521057","0.5860806107521057","186","186","186"
"33","0.542553186416626","0.542553186416626","0.542553186416626","187","187","187"
"34","0.3408239781856537","0.3408239781856537","0.3408239781856537","188","188","188"
"35","0.3198380470275879","0.3198380470275879","0.3198380470275879","189","189","189"
"36","0.40140846371650696","0.40140846371650696","0.40140846371650696","190","190","190"
"37","0.20000000298023224","0.20000000298023224","0.20000000298023224","191","191","191"
"38","0.5201612710952759","0.5201612710952759","0.5201612710952759","192","192","192"
"39","0.3195488750934601","0.3195488750934601","0.3195488750934601","193","193","193"
"40","0.22695034742355347","0.22695034742355347","0.22695034742355347","194","194","194"
"41","0.1507352888584137","0.1507352888584137","0.1507352888584137","195","195","195"
"42","0.3471074402332306","0.3471074402332306","0.3471074402332306","196","196","196"
"43","0.22807016968727112","0.22807016968727112","0.22807016968727112","197","197","197"
"44","0.22183097898960114","0.22183097898960114","0.22183097898960114","198","198","198"
"45","0.2666666805744171","0.2666666805744171","0.2666666805744171","199","199","199"
"46","0.47876447439193726","0.47876447439193726","0.47876447439193726","200","200","200"
"47","0.326241135597229","0.326241135597229","0.326241135597229","201","201","201"
"48","0.32129964232444763","0.32129964232444763","0.32129964232444763","202","202","202"
"49","0.2991803288459778","0.2991803288459778","0.2991803288459778","203","203","203"
"50","0.31182795763015747","0.31182795763015747","0.31182795763015747","204","204","204"
"51","0.31448763608932495","0.31448763608932495","0.31448763608932495","205","205","205"
"52","0.19847328960895538","0.19847328960895538","0.19847328960895538","206","206","206"
"53","0.2142857164144516","0.2142857164144516","0.2142857164144516","207","207","207"
"54","0.3604240417480469","0.3604240417480469","0.3604240417480469","208","208","208"
"55","0.16842105984687805","0.16842105984687805","0.16842105984687805","363","363","363"
"56","0.1984127014875412","0.1984127014875412","0.1984127014875412","364","364","364"
"57","0.3321554660797119","0.3321554660797119","0.3321554660797119","365","365","365"
"58","0.38078293204307556","0.38078293204307556","0.38078293204307556","366","366","366"
"59","0.3861788511276245","0.3861788511276245","0.3861788511276245","367","367","367"
"60","0.4981684982776642","0.4981684982776642","0.4981684982776642","368","368","368"
"61","0.40780141949653625","0.40780141949653625","0.40780141949653625","369","369","369"
"62","0.31086140871047974","0.31086140871047974","0.31086140871047974","370","370","370"
"63","0.19838055968284607","0.19838055968284607","0.19838055968284607","371","371","371"
"64","0.34859153628349304","0.34859153628349304","0.34859153628349304","372","372","372"
"65","0.17543859779834747","0.17543859779834747","0.17543859779834747","373","373","373"
"66","0.30645161867141724","0.30645161867141724","0.30645161867141724","374","374","374"
"67","0.21052631735801697","0.21052631735801697","0.21052631735801697","375","375","375"
"68","0.24468085169792175","0.24468085169792175","0.24468085169792175","376","376","376"
"69","0.1360294073820114","0.1360294073820114","0.1360294073820114","377","377","377"
"70","0.35537189245224","0.35537189245224","0.35537189245224","378","378","378"
"71","0.17543859779834747","0.17543859779834747","0.17543859779834747","379","379","379"
"72","0.20070423185825348","0.20070423185825348","0.20070423185825348","380","380","380"
"73","0.11764705926179886","0.11764705926179886","0.11764705926179886","381","381","381"
"74","0.3667953610420227","0.3667953610420227","0.3667953610420227","382","382","382"
"75","0.1808510571718216","0.1808510571718216","0.1808510571718216","383","383","383"
"76","0.22382672131061554","0.22382672131061554","0.22382672131061554","384","384","384"
"77","0.2909836173057556","0.2909836173057556","0.2909836173057556","385","385","385"
"78","0.20788531005382538","0.20788531005382538","0.20788531005382538","386","386","386"
"79","0.208480566740036","0.208480566740036","0.208480566740036","387","387","387"
"80","0.1564885526895523","0.1564885526895523","0.1564885526895523","388","388","388"
"81","0.2023809552192688","0.2023809552192688","0.2023809552192688","389","389","389"
"82","0.2226148396730423","0.2226148396730423","0.2226148396730423","390","390","390"
"83","0.3263157904148102","0.3263157904148102","0.3263157904148102","545","545","545"
"84","0.1230158731341362","0.1230158731341362","0.1230158731341362","546","546","546"
"85","0.2332155406475067","0.2332155406475067","0.2332155406475067","547","547","547"
"86","0.3665480315685272","0.3665480315685272","0.3665480315685272","548","548","548"
"87","0.288617879152298","0.288617879152298","0.288617879152298","549","549","549"
"88","0.4285714328289032","0.4285714328289032","0.4285714328289032","550","550","550"
"89","0.3404255211353302","0.3404255211353302","0.3404255211353302","551","551","551"
"90","0.1910112351179123","0.1910112351179123","0.1910112351179123","552","552","552"
"91","0.1538461595773697","0.1538461595773697","0.1538461595773697","553","553","553"
"92","0.25","0.25","0.25","554","554","554"
"93","0.08070175349712372","0.08070175349712372","0.08070175349712372","555","555","555"
"94","1","1","1","556","556","556"
"95","0.15789473056793213","0.15789473056793213","0.15789473056793213","557","557","557"
"96","0.09929078072309494","0.09929078072309494","0.09929078072309494","558","558","558"
"97","0.07720588147640228","0.07720588147640228","0.07720588147640228","559","559","559"
"98","0.1487603336572647","0.1487603336572647","0.1487603336572647","560","560","560"
"99","0.0736842080950737","0.0736842080950737","0.0736842080950737","561","561","561"
"100","0.0809859186410904","0.0809859186410904","0.0809859186410904","562","562","562"
"101","0.10588235408067703","0.10588235408067703","0.10588235408067703","563","563","563"
"102","0.2625482678413391","0.2625482678413391","0.2625482678413391","564","564","564"
"103","0.11347517371177673","0.11347517371177673","0.11347517371177673","565","565","565"
"104","0.11191336065530777","0.11191336065530777","0.11191336065530777","566","566","566"
"105","0.1844262331724167","0.1844262331724167","0.1844262331724167","567","567","567"
"106","0.05017921328544617","0.05017921328544617","0.05017921328544617","568","568","568"
"107","0.060070671141147614","0.060070671141147614","0.060070671141147614","569","569","569"
"108","0.10687022656202316","0.10687022656202316","0.10687022656202316","570","570","570"
"109","0.1190476194024086","0.1190476194024086","0.1190476194024086","571","571","571"
"110","0.09187278896570206","0.09187278896570206","0.09187278896570206","572","572","572"
"111","0.09473684430122375","0.09473684430122375","0.09473684430122375","727","727","727"
"112","0.0714285746216774","0.0714285746216774","0.0714285746216774","728","728","728"
"113","0.11660777032375336","0.11660777032375336","0.11660777032375336","729","729","729"
"114","0.12455516308546066","0.12455516308546066","0.12455516308546066","730","730","730"
"115","0.14227642118930817","0.14227642118930817","0.14227642118930817","731","731","731"
"116","0.21611721813678741","0.21611721813678741","0.21611721813678741","732","732","732"
"117","0.20212766528129578","0.20212766528129578","0.20212766528129578","733","733","733"
"118","0.0749063640832901","0.0749063640832901","0.0749063640832901","734","734","734"
"119","0.10526315867900848","0.10526315867900848","0.10526315867900848","735","735","735"
"120","0.0809859186410904","0.0809859186410904","0.0809859186410904","736","736","736"
