"trainer/global_step","parakeet-finetune_lillelyd_27585228 - training_batch_wer","parakeet-finetune_lillelyd_27585228 - training_batch_wer__MIN","parakeet-finetune_lillelyd_27585228 - training_batch_wer__MAX","parakeet-finetune_lillelyd_27585228 - _step","parakeet-finetune_lillelyd_27585228 - _step__MIN","parakeet-finetune_lillelyd_27585228 - _step__MAX"
"4","0.40865224599838257","0.40865224599838257","0.40865224599838257","0","0","0"
"9","0.4069780707359314","0.4069780707359314","0.4069780707359314","1","1","1"
"14","0.406859815120697","0.406859815120697","0.406859815120697","2","2","2"
"19","0.33730581402778625","0.33730581402778625","0.33730581402778625","3","3","3"
"24","0.35973992943763733","0.35973992943763733","0.35973992943763733","4","4","4"
"29","0.34721454977989197","0.34721454977989197","0.34721454977989197","159","159","159"
"34","0.3676728308200836","0.3676728308200836","0.3676728308200836","160","160","160"
"39","0.35077905654907227","0.35077905654907227","0.35077905654907227","161","161","161"
"44","0.37364915013313293","0.37364915013313293","0.37364915013313293","162","162","162"
"49","0.26984158158302307","0.26984158158302307","0.26984158158302307","163","163","163"
"54","0.31232672929763794","0.31232672929763794","0.31232672929763794","318","318","318"
"59","0.30979809165000916","0.30979809165000916","0.30979809165000916","319","319","319"
"64","0.3206688463687897","0.3206688463687897","0.3206688463687897","320","320","320"
"69","0.25733044743537903","0.25733044743537903","0.25733044743537903","321","321","321"
"74","0.2841693162918091","0.2841693162918091","0.2841693162918091","322","322","322"
"79","0.2877839505672455","0.2877839505672455","0.2877839505672455","323","323","323"
"84","0.25359007716178894","0.25359007716178894","0.25359007716178894","478","478","478"
"89","0.22476299107074738","0.22476299107074738","0.22476299107074738","479","479","479"
"94","0.2699529230594635","0.2699529230594635","0.2699529230594635","480","480","480"
"99","0.22113624215126038","0.22113624215126038","0.22113624215126038","481","481","481"
"104","0.270596444606781","0.270596444606781","0.270596444606781","482","482","482"
"109","0.22312472760677338","0.22312472760677338","0.22312472760677338","637","637","637"
"114","0.1806216686964035","0.1806216686964035","0.1806216686964035","638","638","638"
"119","0.21342629194259644","0.21342629194259644","0.21342629194259644","639","639","639"
"124","0.24773432314395905","0.24773432314395905","0.24773432314395905","640","640","640"
"129","0.2060621976852417","0.2060621976852417","0.2060621976852417","641","641","641"
"134","0.15804804861545563","0.15804804861545563","0.15804804861545563","642","642","642"
"139","0.1431896686553955","0.1431896686553955","0.1431896686553955","797","797","797"
"144","0.19030064344406128","0.19030064344406128","0.19030064344406128","798","798","798"
"149","0.1101897582411766","0.1101897582411766","0.1101897582411766","799","799","799"
"154","0.236711785197258","0.236711785197258","0.236711785197258","800","800","800"
"159","0.17086195945739746","0.17086195945739746","0.17086195945739746","801","801","801"
"164","0.1513972282409668","0.1513972282409668","0.1513972282409668","956","956","956"
"169","0.224692702293396","0.224692702293396","0.224692702293396","957","957","957"
"174","0.14357629418373108","0.14357629418373108","0.14357629418373108","958","958","958"
"179","0.2505756914615631","0.2505756914615631","0.2505756914615631","959","959","959"
"184","0.1745220124721527","0.1745220124721527","0.1745220124721527","960","960","960"
"189","0.12689492106437683","0.12689492106437683","0.12689492106437683","1115","1115","1115"
"194","0.15767888724803925","0.15767888724803925","0.15767888724803925","1116","1116","1116"
"199","0.1421191543340683","0.1421191543340683","0.1421191543340683","1117","1117","1117"
"204","0.17215774953365326","0.17215774953365326","0.17215774953365326","1118","1118","1118"
"209","0.13161799311637878","0.13161799311637878","0.13161799311637878","1119","1119","1119"
"214","0.15926562249660492","0.15926562249660492","0.15926562249660492","1120","1120","1120"
"219","0.168812096118927","0.168812096118927","0.168812096118927","1275","1275","1275"
"224","0.1644974797964096","0.1644974797964096","0.1644974797964096","1276","1276","1276"
"229","0.169648677110672","0.169648677110672","0.169648677110672","1277","1277","1277"
"234","0.11621897667646408","0.11621897667646408","0.11621897667646408","1278","1278","1278"
"239","0.19021494686603546","0.19021494686603546","0.19021494686603546","1279","1279","1279"
"244","0.17242944240570068","0.17242944240570068","0.17242944240570068","1434","1434","1434"
"249","0.13788118958473206","0.13788118958473206","0.13788118958473206","1435","1435","1435"
"254","0.09438779205083847","0.09438779205083847","0.09438779205083847","1436","1436","1436"
"259","0.164089173078537","0.164089173078537","0.164089173078537","1437","1437","1437"
"264","0.20480825006961823","0.20480825006961823","0.20480825006961823","1438","1438","1438"
"269","0.11173297464847565","0.11173297464847565","0.11173297464847565","1439","1439","1439"
"274","0.12842833995819092","0.12842833995819092","0.12842833995819092","1594","1594","1594"
"279","0.1220957562327385","0.1220957562327385","0.1220957562327385","1595","1595","1595"
"284","0.12232809513807297","0.12232809513807297","0.12232809513807297","1596","1596","1596"
"289","0.11773842573165894","0.11773842573165894","0.11773842573165894","1597","1597","1597"
"294","0.14324946701526642","0.14324946701526642","0.14324946701526642","1598","1598","1598"
"299","0.20314647257328033","0.20314647257328033","0.20314647257328033","1753","1753","1753"
"304","0.09961127489805222","0.09961127489805222","0.09961127489805222","1754","1754","1754"
"309","0.08316656202077866","0.08316656202077866","0.08316656202077866","1755","1755","1755"
"314","0.12176884710788727","0.12176884710788727","0.12176884710788727","1756","1756","1756"
"319","0.12712284922599792","0.12712284922599792","0.12712284922599792","1757","1757","1757"
"324","0.10645561665296555","0.10645561665296555","0.10645561665296555","1912","1912","1912"
"329","0.08260176330804825","0.08260176330804825","0.08260176330804825","1913","1913","1913"
"334","0.15841689705848694","0.15841689705848694","0.15841689705848694","1914","1914","1914"
"339","0.07510153949260712","0.07510153949260712","0.07510153949260712","1915","1915","1915"
"344","0.06461630761623383","0.06461630761623383","0.06461630761623383","1916","1916","1916"
"349","0.09303706884384155","0.09303706884384155","0.09303706884384155","1917","1917","1917"
"354","0.11870738118886948","0.11870738118886948","0.11870738118886948","2072","2072","2072"
"359","0.05026112496852875","0.05026112496852875","0.05026112496852875","2073","2073","2073"
"364","0.09938163310289383","0.09938163310289383","0.09938163310289383","2074","2074","2074"
"369","0.0640459880232811","0.0640459880232811","0.0640459880232811","2075","2075","2075"
"374","0.10748369246721268","0.10748369246721268","0.10748369246721268","2076","2076","2076"
"379","0.09348928928375244","0.09348928928375244","0.09348928928375244","2231","2231","2231"
"384","0.11072314530611038","0.11072314530611038","0.11072314530611038","2232","2232","2232"
"389","0.1000264585018158","0.1000264585018158","0.1000264585018158","2233","2233","2233"
"394","0.08581560850143433","0.08581560850143433","0.08581560850143433","2234","2234","2234"
"399","0.08579882234334946","0.08579882234334946","0.08579882234334946","2235","2235","2235"
"404","0.06742942333221436","0.06742942333221436","0.06742942333221436","2236","2236","2236"
"409","0.061889879405498505","0.061889879405498505","0.061889879405498505","2391","2391","2391"
"414","0.11477836966514587","0.11477836966514587","0.11477836966514587","2392","2392","2392"
"419","0.040952228009700775","0.040952228009700775","0.040952228009700775","2393","2393","2393"
"424","0.06650969386100769","0.06650969386100769","0.06650969386100769","2394","2394","2394"
"429","0.08070463687181473","0.08070463687181473","0.08070463687181473","2395","2395","2395"
"434","0.10028532147407532","0.10028532147407532","0.10028532147407532","2550","2550","2550"
"439","0.05767602100968361","0.05767602100968361","0.05767602100968361","2551","2551","2551"
"444","0.1282644271850586","0.1282644271850586","0.1282644271850586","2552","2552","2552"
"449","0.06845962256193161","0.06845962256193161","0.06845962256193161","2553","2553","2553"
"454","0.1159110963344574","0.1159110963344574","0.1159110963344574","2554","2554","2554"
"459","0.1385660469532013","0.1385660469532013","0.1385660469532013","2709","2709","2709"
"464","0.0638360008597374","0.0638360008597374","0.0638360008597374","2710","2710","2710"
"469","0.05684036388993263","0.05684036388993263","0.05684036388993263","2711","2711","2711"
"474","0.08427070826292038","0.08427070826292038","0.08427070826292038","2712","2712","2712"
"479","0.0757843405008316","0.0757843405008316","0.0757843405008316","2713","2713","2713"
"484","0.040506016463041306","0.040506016463041306","0.040506016463041306","2714","2714","2714"
"489","0.057860083878040314","0.057860083878040314","0.057860083878040314","2869","2869","2869"
"494","0.14412859082221985","0.14412859082221985","0.14412859082221985","2870","2870","2870"
"499","0.03890692815184593","0.03890692815184593","0.03890692815184593","2871","2871","2871"
"504","0.05751483514904976","0.05751483514904976","0.05751483514904976","2872","2872","2872"
"509","0.07126040756702423","0.07126040756702423","0.07126040756702423","2873","2873","2873"
"514","0.08416781574487686","0.08416781574487686","0.08416781574487686","3028","3028","3028"
"519","0.09256809204816818","0.09256809204816818","0.09256809204816818","3029","3029","3029"
"524","0.06866344064474106","0.06866344064474106","0.06866344064474106","3030","3030","3030"
"529","0.05787292867898941","0.05787292867898941","0.05787292867898941","3031","3031","3031"
"534","0.15148453414440155","0.15148453414440155","0.15148453414440155","3032","3032","3032"
"539","0.0617794394493103","0.0617794394493103","0.0617794394493103","3033","3033","3033"
"544","0.05509733781218529","0.05509733781218529","0.05509733781218529","3188","3188","3188"
"549","0.06761979311704636","0.06761979311704636","0.06761979311704636","3189","3189","3189"
"554","0.060307446867227554","0.060307446867227554","0.060307446867227554","3190","3190","3190"
"559","0.07961185276508331","0.07961185276508331","0.07961185276508331","3191","3191","3191"
"564","0.09029285609722137","0.09029285609722137","0.09029285609722137","3192","3192","3192"
"569","0.07724315673112869","0.07724315673112869","0.07724315673112869","3347","3347","3347"
"574","0.12020610272884369","0.12020610272884369","0.12020610272884369","3348","3348","3348"
"579","0.07222908735275269","0.07222908735275269","0.07222908735275269","3349","3349","3349"
"584","0.06684243679046631","0.06684243679046631","0.06684243679046631","3350","3350","3350"
"589","0.06430527567863464","0.06430527567863464","0.06430527567863464","3351","3351","3351"
"594","0.0599479079246521","0.0599479079246521","0.0599479079246521","3506","3506","3506"
"599","0.09755420684814453","0.09755420684814453","0.09755420684814453","3507","3507","3507"
"604","0.023504093289375305","0.023504093289375305","0.023504093289375305","3508","3508","3508"
"609","0.09872286021709442","0.09872286021709442","0.09872286021709442","3509","3509","3509"
"614","0.10557827353477478","0.10557827353477478","0.10557827353477478","3510","3510","3510"
"619","0.09663189947605133","0.09663189947605133","0.09663189947605133","3511","3511","3511"
"624","0.03751082345843315","0.03751082345843315","0.03751082345843315","3666","3666","3666"
"629","0.08666928857564926","0.08666928857564926","0.08666928857564926","3667","3667","3667"
"634","0.09506050497293472","0.09506050497293472","0.09506050497293472","3668","3668","3668"
"639","0.03782791271805763","0.03782791271805763","0.03782791271805763","3669","3669","3669"
"644","0.09531249850988388","0.09531249850988388","0.09531249850988388","3670","3670","3670"
"649","0.077567458152771","0.077567458152771","0.077567458152771","3825","3825","3825"
"654","0.048354994505643845","0.048354994505643845","0.048354994505643845","3826","3826","3826"
"659","0.06248293071985245","0.06248293071985245","0.06248293071985245","3827","3827","3827"
"664","0.09947704523801804","0.09947704523801804","0.09947704523801804","3828","3828","3828"
"669","0.04962178319692612","0.04962178319692612","0.04962178319692612","3829","3829","3829"
"674","0.030178571119904518","0.030178571119904518","0.030178571119904518","3830","3830","3830"
"679","0.04762115702033043","0.04762115702033043","0.04762115702033043","3985","3985","3985"
"684","0.08932923525571823","0.08932923525571823","0.08932923525571823","3986","3986","3986"
"689","0.06412667781114578","0.06412667781114578","0.06412667781114578","3987","3987","3987"
"694","0.1078977882862091","0.1078977882862091","0.1078977882862091","3988","3988","3988"
"699","0.05647476017475128","0.05647476017475128","0.05647476017475128","3989","3989","3989"
"704","0.10123038291931152","0.10123038291931152","0.10123038291931152","4144","4144","4144"
"709","0.07653185725212097","0.07653185725212097","0.07653185725212097","4145","4145","4145"
"714","0.10532856732606888","0.10532856732606888","0.10532856732606888","4146","4146","4146"
"719","0.06949784606695175","0.06949784606695175","0.06949784606695175","4147","4147","4147"
"724","0.05347927287220955","0.05347927287220955","0.05347927287220955","4148","4148","4148"
